id,event_unique_id,occurrence_year,occurrence_date,occurrence_time,reported_year,reported_date,reported_time,division,location_type,age_bias,mental_or_physical_disability,race_bias,ethnicity_bias,language_bias,religion_bias,sexual_orientation_bias,gender_bias,multiple_bias,primary_offence,hood_158,neighbourhood_158,hood_140,neighbourhood_140,arrest_made,occurrence_month,primary_offence_simplified,division_area
792,GO-2022431054,2022,2022-03-06,1800,2022,2022-03-07,1308,D51,Religious,NO,NO,None,None,None,Jewish,2SLGBTQ+,None,YES,Mischief Under $5000,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),NO,3,Property Crimes,Toronto-East York
793,GO-2022427294,2022,2022-03-06,2123,2022,2022-03-06,2123,D53,Public Spaces/Transportation,NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,174,South Eglinton-Davisville (174),104,Mount Pleasant West (104),NO,3,Property Crimes,Toronto-East York
794,GO-2022429852,2022,2022-03-06,2222,2022,2022-03-07,957,D22,Commercial/Business,NO,NO,None,Ukrainian,None,None,None,None,NO,Mischief Under $5000,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),YES,3,Property Crimes,Etobicoke
795,GO-2022437671,2022,2022-03-07,0,2022,2022-03-08,1213,D42,Public Spaces/Transportation,NO,NO,South Asian,None,None,None,2SLGBTQ+,None,YES,Mischief Under $5000,146,Malvern East (146),132,Malvern (132),NO,3,Property Crimes,Scarborough
796,GO-2022443766,2022,2022-03-08,1,2022,2022-03-09,1234,D55,Educational,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,062,East End-Danforth (62),062,East End-Danforth (62),NO,3,Property Crimes,Toronto-East York
797,GO-2022446073,2022,2022-03-09,1630,2022,2022-03-09,2030,D13,Residential,NO,NO,None,None,None,None,2SLGBTQ+,None,NO,Assault,108,Briar Hill-Belgravia (108),108,Briar Hill-Belgravia (108),YES,3,Assault,Etobicoke-York
798,GO-2022450615,2022,2022-03-10,37,2022,2022-03-10,937,D41,Educational,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,122,Birchcliffe-Cliffside (122),122,Birchcliffe-Cliffside (122),NO,3,Property Crimes,Scarborough
799,GO-2022457709,2022,2022-03-11,956,2022,2022-03-11,956,D22,Public Spaces/Transportation,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),NO,3,Property Crimes,Etobicoke
800,GO-2022472889,2022,2022-03-13,1636,2022,2022-03-13,1636,D55,Public Spaces/Transportation,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Interfere With Property,058,Old East York (58),058,Old East York (58),NO,3,Property Crimes,Toronto-East York
801,GO-2022480176,2022,2022-03-14,1100,2022,2022-03-14,2035,D13,Public Spaces/Transportation,NO,NO,Latino,None,None,None,None,None,YES,Assault,106,Humewood-Cedarvale (106),106,Humewood-Cedarvale (106),NO,3,Assault,Etobicoke-York
802,GO-2022475130,2022,2022-03-14,45,2022,2022-03-14,45,D32,Public Spaces/Transportation,NO,NO,None,Ukrainian,None,None,None,None,NO,Mischief Over $5000,034,Bathurst Manor (34),034,Bathurst Manor (34),NO,3,Property Crimes,North York
803,GO-2022494757,2022,2022-03-15,1440,2022,2022-03-16,1859,D55,Public Spaces/Transportation,NO,NO,East/Southeast Asian,None,None,Muslim,None,None,YES,Assault,065,Greenwood-Coxwell (65),065,Greenwood-Coxwell (65),NO,3,Assault,Toronto-East York
805,GO-2022528026,2022,2022-03-16,1400,2022,2022-03-21,1537,D31,Educational,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),NO,3,Property Crimes,North York
806,GO-2022534992,2022,2022-03-16,1348,2022,2022-03-22,1444,D31,Educational,NO,NO,Black,None,None,None,None,None,NO,Disturbing Religious Worship Or Certain Meetings,027,York University Heights (27),027,York University Heights (27),NO,3,Threats and Harassment,North York
807,GO-2022506622,2022,2022-03-18,745,2022,2022-03-18,1601,D53,Public Spaces/Transportation,NO,NO,Black,None,None,None,None,None,NO,Assault,100,Yonge-Eglinton (100),100,Yonge-Eglinton (100),NO,3,Assault,Toronto-East York
808,GO-2022508361,2022,2022-03-18,1559,2022,2022-03-18,1559,D32,Public Spaces/Transportation,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,NSA,NSA,NSA,NSA,NO,3,Property Crimes,North York
809,GO-2022594959,2022,2022-03-31,735,2022,2022-03-31,752,D32,Public Spaces/Transportation,NO,NO,None,Russian,None,None,None,None,NO,Assault With a Weapon,035,Westminster-Branson (35),035,Westminster-Branson (35),YES,3,Assault,North York
810,GO-2022622781,2022,2022-04-04,905,2022,2022-04-04,1003,D14,Public Spaces/Transportation,NO,NO,None,Chinese,None,None,None,None,NO,Assault,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),NO,4,Assault,Etobicoke-York
811,GO-2022678821,2022,2022-04-05,1714,2022,2022-04-12,1052,D52,Educational,NO,NO,None,None,None,None,None,Transgender Woman (Identifies As Woman),NO,Mischief Under $5000,079,University (79),079,University (79),NO,4,Property Crimes,Toronto-East York
812,GO-2022634644,2022,2022-04-06,47,2022,2022-04-06,47,D14,Public Spaces/Transportation,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,172,Dovercourt Village (172),093,Dovercourt-Wallace Emerson-Junction (93),NO,4,Assault,Etobicoke-York
813,GO-2022644242,2022,2022-04-07,1140,2022,2022-04-07,1144,D42,Educational,NO,NO,None,None,None,None,None,Transgender Woman (Identifies As Woman),NO,Assault,129,Agincourt North (129),129,Agincourt North (129),YES,4,Assault,Scarborough
814,GO-2022780069,2022,2022-04-07,10,2022,2022-04-27,819,D53,Public Spaces/Transportation,NO,NO,None,Korean,None,None,None,None,NO,Assault,095,Annex (95),095,Annex (95),NO,4,Assault,Toronto-East York
815,GO-2022673371,2022,2022-04-08,0,2022,2022-04-11,1524,D14,Residential,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),NO,4,Property Crimes,Etobicoke-York
816,GO-2022673268,2022,2022-04-10,1200,2022,2022-04-11,1512,D31,Residential,NO,NO,None,None,None,Muslim,None,None,NO,Harassing Communications,027,York University Heights (27),027,York University Heights (27),NO,4,Threats and Harassment,North York
817,GO-2022680231,2022,2022-04-12,2200,2022,2022-04-12,2214,D55,Residential,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,065,Greenwood-Coxwell (65),065,Greenwood-Coxwell (65),NO,4,Property Crimes,Toronto-East York
818,GO-2022688919,2022,2022-04-13,1545,2022,2022-04-13,1606,D51,Public Spaces/Transportation,NO,NO,None,Indian,None,None,None,None,NO,Mischief Under $5000,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),NO,4,Property Crimes,Toronto-East York
819,GO-2022726974,2022,2022-04-14,1200,2022,2022-04-19,2359,D31,Educational,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),YES,4,Property Crimes,North York
820,GO-2022707213,2022,2022-04-16,200,2022,2022-04-16,945,D43,Public Spaces/Transportation,NO,NO,None,Indian,None,None,None,None,NO,Assault,136,West Hill (136),136,West Hill (136),YES,4,Assault,Scarborough
821,GO-2022723678,2022,2022-04-18,0,2022,2022-04-19,53,D31,Residential,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),NO,4,Property Crimes,North York
822,GO-2022780753,2022,2022-04-20,622,2022,2022-04-27,1007,D32,Commercial/Business,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,037,Willowdale West (37),037,Willowdale West (37),NO,4,Property Crimes,North York
823,GO-2022739342,2022,2022-04-21,900,2022,2022-04-21,1018,D55,Educational,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,065,Greenwood-Coxwell (65),065,Greenwood-Coxwell (65),NO,4,Property Crimes,Toronto-East York
825,GO-2022821421,2022,2022-04-29,500,2022,2022-05-03,936,D43,Educational,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,134,Highland Creek (134),134,Highland Creek (134),NO,4,Property Crimes,Scarborough
